player_id,player_name,matches_played,minutes_played,goals,assists,xg_total,xa_total,shots,passes_completed,tackles,interceptions,progressive_passes,position,position_category,goals_per90,assists_per90,xg_per90,xa_per90,progressive_passes_per90,tackles_per90
3043,Christian Dannemann Eriksen,7,630,1,0,0.9891478859999999,0.0,16,359,0,4,352,Left Attacking Midfield,Unknown,0.14285714285714285,0.0,0.14130684085714285,0.0,50.285714285714285,0.0
3044,Chancel Mbemba Mangulu,1,90,0,0,0.165158888,0.0,3,53,0,1,53,Right Center Back,Unknown,0.0,0.0,0.165158888,0.0,53.0,0.0
3053,Leroy Sané,9,810,0,1,0.6734447619999999,0.0,13,187,0,1,146,Right Wing,Forward,0.0,0.1111111111111111,0.07482719577777777,0.0,16.22222222222222,0.0
3063,Danilo Luiz da Silva,3,270,0,0,0.0323683795,0.0,2,232,0,1,228,Left Back,Defender,0.0,0.0,0.010789459833333334,0.0,76.0,0.0
3067,Ederson Santana de Moraes,1,90,0,0,0.0,0.0,0,28,0,0,30,Goalkeeper,GK,0.0,0.0,0.0,0.0,30.0,0.0
3070,Florent Mollet,2,180,0,1,0.0176764565,0.0,2,51,0,5,36,Center Attacking Midfield,Unknown,0.0,0.5,0.00883822825,0.0,18.0,0.0
3071,Pierrick Capelle,1,90,0,0,0.0,0.0,0,21,0,1,21,Right Midfield,Midfielder,0.0,0.0,0.0,0.0,21.0,0.0
3076,Ayoze Pérez Gutiérrez,1,90,0,0,0.323952999,0.0,3,3,0,0,2,Left Wing,Forward,0.0,0.0,0.323952999,0.0,2.0,0.0
3077,Jan Vertonghen,6,540,0,0,0.21263906500000002,0.0,3,430,0,4,437,Left Center Back,Unknown,0.0,0.0,0.035439844166666665,0.0,72.83333333333333,0.0
3083,Heung-Min Son,4,360,0,1,0.453828075,0.0,9,84,0,1,86,Left Wing,Forward,0.0,0.25,0.11345701875000001,0.0,21.5,0.0
3086,Ben Davies,3,270,0,0,0.384204745,0.0,3,121,0,2,136,Left Center Back,Unknown,0.0,0.0,0.12806824833333336,0.0,45.33333333333333,0.0
3089,Kevin De Bruyne,7,630,1,0,1.0406193368,0.0,18,271,0,1,291,Center Attacking Midfield,Unknown,0.14285714285714285,0.0,0.14865990525714287,0.0,41.57142857142858,0.0
3090,Nicolás Hernán Otamendi,7,630,0,1,0.048093256,0.0,1,528,0,10,485,Left Center Back,Unknown,0.0,0.14285714285714285,0.006870465142857143,0.0,69.28571428571429,0.0
3091,Moussa Sissoko,1,90,0,0,0.026508642,0.0,1,28,0,2,20,Right Defensive Midfield,Unknown,0.0,0.0,0.026508642,0.0,20.0,0.0
3097,Pascal Groß,1,90,0,0,0.030512892,0.0,1,66,0,0,53,Right Defensive Midfield,Unknown,0.0,0.0,0.030512892,0.0,53.0,0.0
3099,Hugo Lloris,6,540,0,0,0.0,0.0,0,111,0,0,179,Goalkeeper,GK,0.0,0.0,0.0,0.0,29.833333333333336,0.0
3105,Gauthier Hein,2,180,0,0,0.297921655,0.0,4,44,0,0,54,Right Wing,Forward,0.0,0.0,0.1489608275,0.0,27.0,0.0
3108,Baptiste Santamaría,3,270,0,0,0.239317108,0.0,3,33,0,2,33,Left Center Midfield,Midfielder,0.0,0.0,0.07977236933333333,0.0,11.0,0.0
3117,Lucas Tousart,1,90,0,0,0.0,0.0,0,17,0,4,16,Right Center Midfield,Midfielder,0.0,0.0,0.0,0.0,16.0,0.0
3118,Jordan Ferri,3,270,0,0,0.0,0.0,0,129,0,2,104,Right Center Midfield,Midfielder,0.0,0.0,0.0,0.0,34.666666666666664,0.0
3130,Gaël Kakuta,1,90,0,0,0.093207195,0.0,1,10,0,0,10,Right Wing,Forward,0.0,0.0,0.09320719499999999,0.0,10.0,0.0
3135,Chang-Hoon Kwon,1,90,0,0,0.0,0.0,0,19,0,0,16,Right Wing,Forward,0.0,0.0,0.0,0.0,16.0,0.0
3141,André-Frank Zambo Anguissa,3,270,0,0,0.046351306,0.0,1,115,0,6,109,Right Center Midfield,Midfielder,0.0,0.0,0.015450435333333335,0.0,36.333333333333336,0.0
3143,Andrei Girotto,4,360,0,0,0.069147055,0.0,2,139,0,10,117,Center Back,Defender,0.0,0.0,0.01728676375,0.0,29.25,0.0
3149,Wylan Jean-Claude Cyprien,1,90,0,0,0.0,0.0,0,10,0,0,10,Right Defensive Midfield,Unknown,0.0,0.0,0.0,0.0,10.0,0.0
3153,Ádám Lang,1,90,0,0,0.0,0.0,0,13,0,2,15,Right Center Back,Unknown,0.0,0.0,0.0,0.0,15.0,0.0
3154,Miguel Ângelo da Silva Rocha,1,90,0,0,0.03660104,0.0,1,37,0,5,30,Right Center Midfield,Midfielder,0.0,0.0,0.03660104,0.0,30.0,0.0
3164,Marcelo Antônio Guedes Filho,1,90,0,0,0.0,0.0,0,41,0,2,40,Center Back,Defender,0.0,0.0,0.0,0.0,40.0,0.0
3166,Marco Verratti,43,3870,1,2,0.817712435,0.0,9,3489,0,46,2762,Center Defensive Midfield,Unknown,0.023255813953488372,0.046511627906976744,0.019016568255813954,0.0,64.23255813953489,0.0
3167,Antonio Rüdiger,8,720,0,0,0.8230479586999999,0.0,10,600,0,4,573,Right Center Back,Unknown,0.0,0.0,0.10288099483749999,0.0,71.625,0.0
3176,Thomas Meunier,4,360,0,0,0.119195924,0.0,3,112,0,6,132,Right Back,Defender,0.0,0.0,0.029798980999999995,0.0,33.0,0.0
3185,Thomas Mangani,2,180,0,0,0.028438749,0.0,1,31,0,1,30,Center Defensive Midfield,Unknown,0.0,0.0,0.014219374500000001,0.0,15.0,0.0
3186,Julian Draxler,9,810,0,0,0.09118559000000001,0.0,2,118,0,2,85,Right Center Midfield,Midfielder,0.0,0.0,0.010131732222222224,0.0,9.444444444444445,0.0
3190,Gaëtan Laborde,4,360,2,1,0.683769614,0.0,7,38,0,4,36,Center Forward,Forward,0.5,0.25,0.1709424035,0.0,9.0,0.0
3193,Bernardo Mota Veiga de Carvalho e Silva,9,810,3,0,2.421346951,0.0,10,497,0,2,402,Right Center Midfield,Midfielder,0.33333333333333337,0.0,0.2690385501111111,0.0,44.666666666666664,0.0
3195,Mehdi Zeffane,1,90,1,0,0.7199721,0.0,1,15,0,3,15,Right Wing Back,Defender,1.0,0.0,0.7199721,0.0,15.0,0.0
3196,Wahbi Khazri,4,360,2,0,0.8213711403,0.0,8,50,0,4,49,Center Forward,Forward,0.5,0.0,0.205342785075,0.0,12.249999999999998,0.0
3197,Dante Bonfim da Costa Santos,4,360,0,0,0.21366375199999998,0.0,4,210,0,6,196,Left Center Back,Unknown,0.0,0.0,0.05341593799999999,0.0,48.99999999999999,0.0
3199,Pierre Lees Melou,2,180,0,0,0.027340233,0.0,1,76,0,2,73,Center Defensive Midfield,Unknown,0.0,0.0,0.0136701165,0.0,36.5,0.0
3202,Gabriel Fernando de Jesus,3,270,0,0,0.323986363,0.0,2,23,0,1,16,Center Forward,Forward,0.0,0.0,0.10799545433333334,0.0,5.333333333333334,0.0
3205,Kyle Walker,10,900,0,0,0.0,0.0,0,656,0,13,628,Right Back,Defender,0.0,0.0,0.0,0.0,62.800000000000004,0.0
3210,Valère Germain,3,270,0,0,0.0,0.0,0,26,0,1,18,Right Center Forward,Unknown,0.0,0.0,0.0,0.0,6.0,0.0
3215,Dimitri Liénard,2,180,0,1,0.107408348,0.0,2,57,0,0,64,Left Wing Back,Defender,0.0,0.5,0.053704174,0.0,32.0,0.0
3216,Nuno Miguel da Costa Jóia,2,180,0,1,0.079699664,0.0,2,21,0,0,19,Center Forward,Forward,0.0,0.5,0.039849832,0.0,9.5,0.0
3218,Marcos Paulo Mesquita Lopes,1,90,0,1,0.31501333200000003,0.0,5,20,0,0,20,Right Wing,Forward,0.0,1.0,0.31501333200000003,0.0,20.0,0.0
