player_id,player_name,matches_played,minutes_played,goals,assists,xg_total,xa_total,shots,passes_completed,tackles,interceptions,progressive_passes,position,position_category,goals_per90,assists_per90,xg_per90,xa_per90,progressive_passes_per90,tackles_per90,shots_per90,xg_total_per90,xa_total_per90,passes_completed_per90,interceptions_per90,offensive_score,creative_score,defensive_score,workrate_score,discipline_score,style_cluster,primary_style,affinity_poacher,affinity_inside_forward,affinity_complete_forward,affinity_target_man,affinity_winger,affinity_deep-lying_playmaker,affinity_box-to-box,affinity_ball-winner,affinity_advanced_playmaker,affinity_ball-playing_defender,affinity_no-nonsense_defender,affinity_sweeper,affinity_wing-back
2941,Ismaïla Sarr,4,360,1,0,1.848790219,0.0,10,57,0,3,53,Left Wing,Forward,0.25,0.0,0.46219755475,0.0,13.25,0.0,2.5,0.46219755475,0.0,14.25,0.75,95.27123483226266,43.53140613847251,55.9154175588865,50,50,2.0,Complete Forward,72.38643256954049,67.25321704787322,84.27850904916141,56.540204722752094,59.58492232144618,,,,,,,,
2972,Marcus Thuram,9,810,0,2,1.29431223,0.0,13,78,0,4,62,Center Forward,Forward,0.0,0.2222222222222222,0.14381247,0.0,6.888888888888889,0.0,1.4444444444444446,0.14381247,0.0,8.666666666666666,0.4444444444444444,71.14561027837259,54.05960028551035,49.18361884368308,50,50,1.0,Inside Forward,71.80099279499643,96.19336175949039,67.48817967346078,19.292105981002038,83.9854231541326,,,,,,,,
2974,Saîf-Eddine Khaoui,3,270,0,0,0.036600627,0.0,1,14,0,2,11,Left Wing,Forward,0.0,0.0,0.0122002089999999,0.0,3.666666666666667,0.0,0.33333333333333337,0.012200208999999998,0.0,4.666666666666667,0.6666666666666667,45.12847965738758,34.448608137044964,54.57708779443254,50,50,4.0,Winger,62.90072243451834,87.21688695637782,46.65699658949758,3.5253817036280055,98.20197306061542,,,,,,,,
2988,Memphis Depay,11,990,2,1,3.132957058,0.0,28,208,0,2,193,Center Forward,Forward,0.18181818181818182,0.09090909090909091,0.284814278,0.0,17.545454545454547,0.0,2.5454545454545454,0.28481427800000003,0.0,18.90909090909091,0.18181818181818182,93.4064953604568,61.43825838686653,44.526231263383295,50,50,2.0,Complete Forward,78.47474326637733,77.78182151552619,86.14953569585091,43.86101889243004,67.88045145888147,,,,,,,,
2995,Ángel Fabián Di María Hernández,26,2340,5,6,5.196038794,0.0,51,892,0,15,879,Right Wing,Forward,0.19230769230769232,0.23076923076923078,0.1998476459230769,0.0,33.80769230769231,0.0,1.9615384615384615,0.1998476459230769,0.0,34.30769230769231,0.5769230769230769,89.88222698072805,73.39400428265525,53.305674518201286,50,50,0.0,Poacher,84.69735165143315,85.24717114943441,75.50800253901188,36.730673936471035,75.38667099156515,,,,,,,,
2997,Ibrahima Niane,1,90,0,0,0.2168410459999999,0.0,2,11,0,1,12,Right Center Forward,Forward,0.0,0.0,0.2168410459999999,0.0,12.0,0.0,2.0,0.2168410459999999,0.0,11.0,1.0,75.54425410421128,42.66595289079228,60.38543897216274,50,50,1.0,Inside Forward,71.76455176656742,87.89862874877288,78.107773170559,26.246799245911546,76.49135697131018,,,,,,,,
3009,Kylian Mbappé Lottin,64,5760,59,20,46.0428149538,0.0,278,2053,0,19,1595,Center Forward,Forward,0.921875,0.3125,0.719418983653125,0.0,24.921875,0.0,4.34375,0.719418983653125,0.0,32.078125,0.296875,99.50035688793719,68.51356174161315,46.29282655246253,50,50,3.0,Target Man,28.959364216778404,22.033240433410306,24.662170295760067,73.78595334974074,20.50781897208529,,,,,,,,
3013,Nicolas Pépé,2,180,0,0,0.4621343329999999,0.0,4,69,0,1,55,Right Wing,Forward,0.0,0.0,0.2310671664999999,0.0,27.500000000000004,0.0,2.0,0.23106716649999995,0.0,34.5,0.5,75.82976445396146,53.185224839400426,51.20449678800856,50,50,1.0,Inside Forward,71.74490763721496,87.18730427377534,79.1409641511956,26.991886607108217,75.94858848641472,,,,,,,,
3038,Andy Delort,3,270,1,0,0.341766706,0.0,3,30,0,1,25,Right Center Forward,Forward,0.33333333333333337,0.0,0.1139222353333333,0.0,8.333333333333332,0.0,1.0,0.11392223533333332,0.0,10.0,0.33333333333333337,83.7526766595289,39.59671663097787,47.49732334047109,50,50,0.0,Poacher,87.45420381156586,81.65774781454496,56.46083543614409,30.64212993847719,79.59441284801808,,,,,,,,
3053,Leroy Sané,9,810,0,1,0.6734447619999999,0.0,13,187,0,1,146,Right Wing,Forward,0.0,0.1111111111111111,0.0748271957777777,0.0,16.22222222222222,0.0,1.4444444444444446,0.07482719577777777,0.0,20.77777777777778,0.1111111111111111,67.790863668808,60.62633832976445,43.95074946466809,50,50,1.0,Inside Forward,69.74642086609857,96.34466151985089,62.35958535081738,15.109212299299069,85.91075777763638,,,,,,,,
3076,Ayoze Pérez Gutiérrez,1,90,0,0,0.323952999,0.0,3,3,0,0,2,Left Wing,Forward,0.0,0.0,0.323952999,0.0,2.0,0.0,3.0,0.323952999,0.0,3.0,0.0,78.84546752319773,33.012134189864376,34.435224839400426,50,50,2.0,Complete Forward,64.10325069994498,73.83687710136022,90.89473106850747,34.22248758548836,63.89078303084595,,,,,,,,
3083,Heung-Min Son,4,360,0,1,0.453828075,0.0,9,84,0,1,86,Left Wing,Forward,0.0,0.25,0.11345701875,0.0,21.5,0.0,2.25,0.11345701875000001,0.0,21.0,0.25,73.26017130620984,65.64953604568166,45.59689507494646,50,50,1.0,Inside Forward,69.20832949914279,87.97356616921299,71.21380176972183,21.188356461546732,77.09276061941625,,,,,,,,
